Search_ID,User_ID,Search_Query,Recommended_Content,Clicked_Content,Recommendation_Score,Timestamp
SRCH00000052,844227,Comedy Shows,CONT2917,CONT3277,0.66,2025-11-06 04:38:11
SRCH00000053,641630,KDrama,CONT9935,CONT9427,0.84,2025-12-17 08:42:26
SRCH00000054,124219,IPL,CONT7772,CONT3752,0.08,2026-01-09 01:01:01
SRCH00000055,232623,KDrama,CONT5600,CONT2799,0.26,2025-05-28 05:53:03
SRCH00000056,238257,Sci-Fi,CONT9892,CONT3912,0.53,2026-01-21 05:25:57
SRCH00000057,108398,Comedy Shows,CONT2036,CONT6047,0.69,2025-07-25 07:35:29
SRCH00000058,961364,Sci-Fi,CONT7658,CONT1536,0.2,2025-06-24 04:38:32
SRCH00000059,416326,IPL,CONT5998,CONT3562,0.99,2025-11-05 22:47:43
SRCH00000060,488055,Action Movies,CONT4824,CONT3620,0.94,2026-02-04 21:31:43
SRCH00000061,182806,Comedy Shows,CONT3633,CONT8156,0.62,2025-08-16 02:51:11
SRCH00000062,766900,Comedy Shows,CONT5482,CONT6362,0.86,2026-04-01 06:32:50
SRCH00000063,842722,Action Movies,CONT2924,CONT4428,0.98,2026-05-10 07:07:01
SRCH00000064,301129,IPL,CONT6365,CONT2048,0.85,2025-07-12 13:34:46
SRCH00000065,303607,KDrama,CONT9933,CONT4321,0.79,2025-12-01 20:42:31
SRCH00000066,375144,Comedy Shows,CONT1073,CONT7723,0.82,2025-10-10 19:52:00
SRCH00000067,530805,IPL,CONT7746,CONT9036,0.71,2026-03-04 06:17:21
SRCH00000068,683030,KDrama,CONT1816,CONT9749,0.69,2025-12-01 04:08:38
SRCH00000069,609331,Action Movies,CONT4615,CONT6867,0.61,2026-05-04 09:08:56
SRCH00000070,796897,Sci-Fi,CONT1902,CONT6244,0.82,2026-05-18 08:37:03
SRCH00000071,749562,Action Movies,CONT4330,CONT6813,0.12,2025-08-10 22:33:05
SRCH00000072,343372,Sci-Fi,CONT6289,CONT5986,0.46,2025-12-08 08:59:59
SRCH00000073,570279,Sci-Fi,CONT9343,CONT4647,0.71,2026-02-09 06:49:32
SRCH00000074,391764,Action Movies,CONT6987,CONT9358,0.76,2025-12-29 07:17:57
SRCH00000075,382240,IPL,CONT2693,CONT9790,0.59,2026-02-22 23:42:50
SRCH00000076,643656,Action Movies,CONT1657,CONT5458,0.28,2026-01-07 15:22:07
SRCH00000077,603483,IPL,CONT2609,CONT2273,0.48,2025-10-04 17:27:19
SRCH00000078,618492,Comedy Shows,CONT5325,CONT7910,0.29,2025-07-25 16:46:03
SRCH00000079,910924,IPL,CONT1501,CONT7240,0.98,2025-10-02 17:33:50
SRCH00000080,765570,KDrama,CONT3049,CONT9732,0.64,2025-07-18 14:04:43
SRCH00000081,621128,IPL,CONT8102,CONT3348,0.13,2026-02-01 06:31:52
SRCH00000082,844960,Action Movies,CONT2976,CONT4307,0.0,2026-05-18 19:18:05
SRCH00000083,247672,KDrama,CONT6332,CONT2455,0.45,2026-03-17 05:55:45
SRCH00000084,117698,Action Movies,CONT9721,CONT7790,0.34,2026-01-10 19:16:23
SRCH00000085,434968,IPL,CONT8515,CONT3620,0.9,2025-10-30 10:09:22
SRCH00000086,854441,IPL,CONT3129,CONT3321,0.1,2026-02-15 00:31:32
SRCH00000087,399897,Comedy Shows,CONT8154,CONT1208,0.79,2025-10-15 04:06:09
SRCH00000088,751868,Action Movies,CONT3028,CONT6496,0.71,2026-05-18 01:46:21
SRCH00000089,471569,IPL,CONT9074,CONT5587,0.53,2026-04-10 03:52:46
SRCH00000090,942383,Sci-Fi,CONT4110,CONT3565,0.12,2026-01-14 10:56:21
SRCH00000091,385900,KDrama,CONT8664,CONT7896,0.3,2026-05-21 06:10:08
SRCH00000092,774434,KDrama,CONT2505,CONT5354,0.61,2025-08-22 02:01:43
SRCH00000093,400192,IPL,CONT9606,CONT3892,0.86,2026-02-22 20:31:05
SRCH00000094,151428,Comedy Shows,CONT7714,CONT6411,0.37,2026-04-20 02:54:01
SRCH00000095,509466,Action Movies,CONT3909,CONT5729,0.56,2026-02-25 04:52:01
SRCH00000096,986576,Sci-Fi,CONT4716,CONT6537,0.04,2026-01-10 10:01:42
SRCH00000097,787253,KDrama,CONT9928,CONT6058,0.76,2026-03-10 06:53:30
SRCH00000098,830903,Comedy Shows,CONT1930,CONT3243,0.14,2026-02-22 22:39:28
SRCH00000099,854739,Comedy Shows,CONT3355,CONT6130,0.2,2026-03-20 04:29:41
SRCH00000100,367706,IPL,CONT2895,CONT3650,0.85,2026-01-05 09:14:54
SRCH00000101,951844,Comedy Shows,CONT1863,CONT5943,0.17,2025-08-14 06:31:56
SRCH00000102,279344,KDrama,CONT8045,CONT1691,0.6,2025-10-02 01:31:27
SRCH00000103,989451,KDrama,CONT5231,CONT8465,0.2,2026-04-04 08:58:25
SRCH00000104,461593,Action Movies,CONT8042,CONT1492,0.1,2025-12-22 00:02:04
SRCH00000105,986460,Comedy Shows,CONT8088,CONT8566,0.62,2025-07-08 08:50:24
SRCH00000106,458866,Sci-Fi,CONT2283,CONT3168,0.64,2025-10-31 20:47:31
SRCH00000107,662692,IPL,CONT6266,CONT5049,0.94,2025-06-30 13:44:25
SRCH00000108,862852,Comedy Shows,CONT5871,CONT2390,0.71,2026-03-28 03:57:06
SRCH00000109,409076,Action Movies,CONT9375,CONT9923,0.51,2026-01-05 22:29:34
SRCH00000110,693796,Comedy Shows,CONT9698,CONT5069,0.88,2025-10-01 23:55:15
SRCH00000111,290002,Sci-Fi,CONT8684,CONT9835,0.75,2026-04-06 05:38:03
SRCH00000112,297842,IPL,CONT9535,CONT9300,0.49,2026-03-04 03:58:59
SRCH00000113,148546,KDrama,CONT7917,CONT3933,0.41,2025-10-19 13:31:23
SRCH00000114,585678,Sci-Fi,CONT8273,CONT8228,0.5,2025-09-15 09:55:28
SRCH00000115,196050,Action Movies,CONT3037,CONT6660,0.78,2025-12-17 07:09:50
SRCH00000116,454131,Action Movies,CONT3402,CONT8316,0.01,2026-01-09 23:22:06
SRCH00000117,956551,KDrama,CONT8491,CONT8148,0.42,2026-02-21 13:58:54
SRCH00000118,855942,Comedy Shows,CONT9764,CONT1552,0.28,2025-07-25 14:23:01
SRCH00000119,406353,Comedy Shows,CONT5142,CONT1429,0.95,2025-10-10 11:57:02
SRCH00000120,617322,Action Movies,CONT4384,CONT1943,0.16,2026-03-24 01:04:52
SRCH00000121,241649,IPL,CONT6844,CONT4632,0.59,2025-07-03 01:11:50
SRCH00000122,617965,Sci-Fi,CONT6848,CONT3873,0.69,2026-03-21 07:20:46
SRCH00000123,803404,Sci-Fi,CONT9273,CONT3950,0.64,2025-07-03 23:51:49
SRCH00000124,468381,KDrama,CONT9607,CONT8855,0.9,2026-01-08 05:15:53
SRCH00000125,653571,Sci-Fi,CONT2086,CONT5242,0.24,2025-11-22 20:48:13
SRCH00000126,493341,IPL,CONT3436,CONT2585,0.6,2025-09-08 03:59:04
SRCH00000127,793267,KDrama,CONT5079,CONT2218,0.75,2025-07-22 19:50:04
SRCH00000128,127293,Sci-Fi,CONT4909,CONT2146,0.51,2025-07-20 05:06:42
SRCH00000129,583837,IPL,CONT2640,CONT4192,0.86,2026-04-23 12:57:44
SRCH00000130,874887,Sci-Fi,CONT1010,CONT4203,0.16,2026-01-29 18:57:44
SRCH00000131,408159,Comedy Shows,CONT1028,CONT5583,0.67,2025-09-18 00:29:44
SRCH00000132,426073,KDrama,CONT3130,CONT3380,0.37,2025-11-24 21:01:41
SRCH00000133,587304,Sci-Fi,CONT1497,CONT5572,0.9,2026-02-18 08:16:31
SRCH00000134,214458,Sci-Fi,CONT8282,CONT4149,0.99,2025-06-02 08:37:52
SRCH00000135,462758,KDrama,CONT1787,CONT6364,0.14,2026-04-28 00:45:13
SRCH00000136,606020,KDrama,CONT9884,CONT4055,0.28,2026-01-28 21:41:07
SRCH00000137,900773,Comedy Shows,CONT4130,CONT6964,0.11,2026-02-27 21:19:59
SRCH00000138,637444,Sci-Fi,CONT4633,CONT3915,0.97,2026-03-30 20:31:46
SRCH00000139,205804,KDrama,CONT4622,CONT9858,0.39,2025-08-08 09:38:29
SRCH00000140,924247,Comedy Shows,CONT7963,CONT4604,0.29,2025-11-27 05:15:02
SRCH00000141,292886,IPL,CONT9911,CONT1906,0.76,2026-04-30 21:15:50
SRCH00000142,593985,Action Movies,CONT8185,CONT1378,0.16,2025-07-02 15:31:45
SRCH00000143,913563,Action Movies,CONT6259,CONT2841,0.95,2025-06-15 19:48:31
SRCH00000144,862394,Comedy Shows,CONT5264,CONT7815,0.77,2026-02-09 12:59:55
SRCH00000145,602239,Comedy Shows,CONT8851,CONT8808,0.13,2025-10-10 04:29:06
SRCH00000146,457097,KDrama,CONT2305,CONT1093,0.57,2026-01-29 20:34:01
SRCH00000147,544811,Comedy Shows,CONT1525,CONT1283,0.01,2025-07-12 20:50:52
SRCH00000148,422791,Comedy Shows,CONT8825,CONT7512,0.8,2025-06-21 14:46:55
SRCH00000149,722199,KDrama,CONT9037,CONT8584,0.45,2025-06-26 18:15:09
SRCH00000150,938836,Action Movies,CONT3474,CONT1284,0.73,2025-12-19 23:24:54
SRCH00000151,106675,Action Movies,CONT1305,CONT3237,0.75,2025-10-19 23:38:56
SRCH00000152,383376,Comedy Shows,CONT7259,CONT8084,0.92,2026-04-27 23:49:16
SRCH00000153,454472,KDrama,CONT8830,CONT8603,0.99,2026-01-02 09:53:54
SRCH00000154,764885,Sci-Fi,CONT6414,CONT2692,0.87,2026-02-24 06:59:49
SRCH00000155,617954,KDrama,CONT8644,CONT1121,0.86,2025-11-09 07:08:35
SRCH00000156,265732,Comedy Shows,CONT6351,CONT6992,0.41,2025-07-07 11:39:16
SRCH00000157,889808,Action Movies,CONT2421,CONT2104,0.92,2025-07-23 08:43:33
SRCH00000158,446924,Comedy Shows,CONT8078,CONT6365,0.15,2025-08-30 06:58:20
SRCH00000159,562922,KDrama,CONT1701,CONT9479,0.98,2025-09-27 00:46:53
SRCH00000160,476104,Action Movies,CONT6753,CONT2589,0.62,2025-09-19 00:13:38
SRCH00000161,359554,IPL,CONT7616,CONT9779,0.83,2025-07-03 04:27:06
SRCH00000162,190772,IPL,CONT9196,CONT5273,0.0,2025-09-16 23:21:33
SRCH00000163,761877,Action Movies,CONT1217,CONT3410,0.15,2026-03-19 18:57:32
SRCH00000164,450537,Sci-Fi,CONT4583,CONT4184,0.9,2025-09-19 00:21:58
SRCH00000165,649239,IPL,CONT4453,CONT4680,0.53,2025-12-12 11:50:10
SRCH00000166,790755,Comedy Shows,CONT3013,CONT8276,0.34,2025-12-08 05:12:58
SRCH00000167,560201,Action Movies,CONT5006,CONT1238,0.54,2025-06-15 20:32:37
SRCH00000168,941568,KDrama,CONT3443,CONT2528,0.71,2025-10-27 15:49:15
SRCH00000169,477232,IPL,CONT8467,CONT8107,0.6,2025-10-11 09:40:45
SRCH00000170,587978,KDrama,CONT9833,CONT4386,0.75,2026-04-24 08:25:29
SRCH00000171,403605,Action Movies,CONT9804,CONT8647,0.37,2025-07-15 13:03:26
SRCH00000172,638321,Comedy Shows,CONT2849,CONT2932,0.29,2026-02-08 09:30:24
SRCH00000173,677750,Sci-Fi,CONT5908,CONT7452,0.57,2026-03-28 22:21:47
SRCH00000174,682493,Sci-Fi,CONT1247,CONT4837,0.86,2025-11-03 13:02:00
SRCH00000175,944343,Sci-Fi,CONT3874,CONT2644,0.36,2025-12-26 10:51:03
SRCH00000176,724218,KDrama,CONT4564,CONT9886,0.72,2025-08-27 07:48:18
SRCH00000177,843699,KDrama,CONT3265,CONT4297,0.97,2026-05-25 15:34:11
SRCH00000178,209314,Sci-Fi,CONT9971,CONT3724,0.0,2026-03-07 07:32:18
SRCH00000179,628436,Action Movies,CONT1402,CONT6684,0.14,2025-10-27 13:15:29
SRCH00000180,713146,Comedy Shows,CONT4974,CONT4004,0.54,2025-12-13 19:48:46
SRCH00000181,916261,Action Movies,CONT8038,CONT9106,0.19,2026-04-10 15:47:57
SRCH00000182,728670,Sci-Fi,CONT6138,CONT8391,0.28,2025-11-02 07:36:22
SRCH00000183,852553,Comedy Shows,CONT4257,CONT6746,0.5,2026-02-05 04:55:54
SRCH00000184,424098,IPL,CONT4908,CONT1746,0.98,2025-10-19 15:13:26
SRCH00000185,922363,Sci-Fi,CONT8394,CONT9890,0.22,2026-05-12 17:13:08
SRCH00000186,406247,KDrama,CONT3623,CONT4536,0.53,2025-10-18 03:46:32
SRCH00000187,381939,KDrama,CONT2848,CONT3208,0.65,2026-02-21 06:42:35
SRCH00000188,764131,KDrama,CONT5221,CONT7649,0.64,2026-04-20 18:27:01
SRCH00000189,430120,Action Movies,CONT6120,CONT5105,0.42,2025-06-29 03:22:55
SRCH00000190,745526,KDrama,CONT7504,CONT1806,0.71,2025-11-09 08:20:00
SRCH00000191,647178,Sci-Fi,CONT5376,CONT6592,0.13,2025-12-15 21:51:21
SRCH00000192,436261,KDrama,CONT2878,CONT1432,0.43,2025-10-31 17:24:24
SRCH00000193,802276,Comedy Shows,CONT4996,CONT2811,0.83,2025-12-26 03:32:10
SRCH00000194,505578,Sci-Fi,CONT4748,CONT3919,0.72,2025-09-18 07:02:53
SRCH00000195,852925,Action Movies,CONT7571,CONT9522,0.09,2026-04-29 16:02:46
SRCH00000196,854710,Comedy Shows,CONT9400,CONT6692,0.6,2025-11-16 22:46:26
SRCH00000197,400549,Action Movies,CONT8374,CONT2614,0.01,2025-08-04 08:06:02
SRCH00000198,190179,IPL,CONT8018,CONT1872,0.41,2025-06-06 04:09:10
SRCH00000199,832170,Comedy Shows,CONT8069,CONT6429,0.22,2025-11-05 10:56:02
SRCH00000200,228031,Action Movies,CONT6294,CONT7382,0.46,2026-03-18 04:41:43
SRCH00000201,775126,Action Movies,CONT9328,CONT5250,0.0,2026-01-08 09:09:34
SRCH00000202,423925,Comedy Shows,CONT7587,CONT5837,0.84,2025-07-09 23:30:02
SRCH00000203,589476,Sci-Fi,CONT4142,CONT3384,0.4,2026-01-01 02:57:49
SRCH00000204,626917,Action Movies,CONT8101,CONT8561,0.17,2026-03-27 03:36:44
SRCH00000205,569614,Sci-Fi,CONT7925,CONT2090,0.01,2025-12-05 07:38:38
SRCH00000206,337049,Sci-Fi,CONT3478,CONT2556,0.67,2025-10-05 22:59:37
SRCH00000207,243731,KDrama,CONT3552,CONT7972,0.16,2026-02-01 18:16:12
SRCH00000208,987866,IPL,CONT9781,CONT1442,0.01,2026-02-23 21:03:51
SRCH00000209,354056,Comedy Shows,CONT5811,CONT8727,0.69,2025-06-19 17:53:36
SRCH00000210,582581,Action Movies,CONT4081,CONT3177,0.93,2025-09-23 02:22:55
SRCH00000211,593789,IPL,CONT8716,CONT3109,0.11,2026-01-14 02:10:46
SRCH00000212,105658,KDrama,CONT8224,CONT5869,0.74,2025-12-18 04:49:35
SRCH00000213,890159,Sci-Fi,CONT3304,CONT1489,0.05,2026-03-31 20:46:22
SRCH00000214,852973,IPL,CONT6125,CONT3044,0.43,2026-01-25 12:30:13
SRCH00000215,589878,Sci-Fi,CONT2268,CONT3272,0.44,2026-05-13 14:31:59
SRCH00000216,141599,Action Movies,CONT9103,CONT9712,0.07,2025-09-14 05:18:30
SRCH00000217,518664,Comedy Shows,CONT2674,CONT1085,0.11,2026-03-19 14:56:07
SRCH00000218,499489,Action Movies,CONT4782,CONT5785,0.06,2025-10-02 04:13:35
SRCH00000219,960318,IPL,CONT6643,CONT9154,0.97,2025-08-16 13:52:49
SRCH00000220,543997,KDrama,CONT3801,CONT7001,0.05,2026-05-20 23:28:59
SRCH00000221,366149,KDrama,CONT4428,CONT3349,0.63,2026-02-15 20:02:41
SRCH00000222,136727,Action Movies,CONT1598,CONT4728,0.7,2025-12-22 09:54:14
SRCH00000223,740568,Action Movies,CONT3034,CONT9220,0.92,2025-06-14 00:46:03
SRCH00000224,193012,Sci-Fi,CONT5731,CONT2030,0.45,2025-06-23 05:53:03
SRCH00000225,719589,Sci-Fi,CONT1612,CONT6833,0.33,2025-07-12 18:14:12
SRCH00000226,299099,Comedy Shows,CONT7608,CONT8041,0.12,2025-12-01 16:46:49
SRCH00000227,372258,Comedy Shows,CONT3311,CONT3639,0.05,2025-09-04 08:36:58
SRCH00000228,900245,Comedy Shows,CONT7493,CONT5818,0.4,2025-11-11 20:08:39
SRCH00000229,886711,KDrama,CONT2062,CONT6064,0.55,2025-10-10 20:38:25
SRCH00000230,427172,IPL,CONT7830,CONT2745,0.2,2026-03-25 22:27:57
SRCH00000231,571114,IPL,CONT9755,CONT8105,0.79,2026-05-03 18:19:22
SRCH00000232,127838,Comedy Shows,CONT7245,CONT7748,0.38,2026-01-01 10:16:00
SRCH00000233,494228,Comedy Shows,CONT5322,CONT2560,0.99,2025-06-04 20:37:58
SRCH00000234,207003,IPL,CONT4124,CONT5151,0.65,2026-02-01 03:02:19
SRCH00000235,851945,Action Movies,CONT6431,CONT9761,0.48,2025-09-01 20:11:03
SRCH00000236,280408,IPL,CONT8557,CONT8170,0.85,2026-02-14 06:37:53
SRCH00000237,289566,Action Movies,CONT1429,CONT8067,0.86,2025-07-04 21:18:29
SRCH00000238,727516,Action Movies,CONT4867,CONT8707,0.91,2025-10-27 14:59:06
SRCH00000239,564928,KDrama,CONT9641,CONT6944,0.1,2026-01-14 22:25:52
SRCH00000240,882093,IPL,CONT4942,CONT2563,0.42,2025-08-24 14:07:16
SRCH00000241,760316,Sci-Fi,CONT3911,CONT1267,0.2,2025-08-15 17:35:47
SRCH00000242,404799,KDrama,CONT6592,CONT4967,0.4,2026-01-15 23:51:05
SRCH00000243,347274,KDrama,CONT8187,CONT6890,0.34,2026-03-25 05:20:51
SRCH00000244,726078,Sci-Fi,CONT8599,CONT4557,0.2,2026-03-10 13:26:42
SRCH00000245,317859,Sci-Fi,CONT9308,CONT7046,0.94,2025-11-18 11:03:21
SRCH00000246,103381,Comedy Shows,CONT2881,CONT3085,0.23,2025-07-08 21:46:28
SRCH00000247,760379,IPL,CONT7764,CONT6897,0.46,2025-05-30 01:42:08
SRCH00000248,613380,Comedy Shows,CONT7488,CONT6633,0.5,2026-04-11 10:42:39
SRCH00000249,117321,Sci-Fi,CONT4253,CONT5676,0.78,2026-02-20 03:16:58
SRCH00000250,360029,Comedy Shows,CONT9969,CONT3481,0.06,2025-12-16 16:22:06
SRCH00000251,840110,Sci-Fi,CONT3168,CONT1413,0.52,2026-01-04 13:39:43
SRCH00000252,325876,Sci-Fi,CONT6262,CONT1034,0.14,2025-08-10 13:42:21
SRCH00000253,697619,Action Movies,CONT1450,CONT8506,0.26,2026-02-17 04:29:52
SRCH00000254,766150,KDrama,CONT9468,CONT8029,0.82,2025-07-11 01:21:53
SRCH00000255,573491,Sci-Fi,CONT3938,CONT9671,0.58,2025-11-23 06:58:25
SRCH00000256,153852,IPL,CONT8685,CONT9238,0.13,2026-01-30 23:52:42
SRCH00000257,760720,Comedy Shows,CONT7601,CONT2988,0.29,2026-05-22 10:10:48
SRCH00000258,710125,Sci-Fi,CONT3316,CONT1896,0.63,2025-09-28 23:19:38
SRCH00000259,354593,IPL,CONT9216,CONT3834,0.82,2025-06-23 19:07:55
SRCH00000260,222130,Action Movies,CONT5410,CONT2422,0.28,2025-09-23 07:22:47
SRCH00000261,971469,Comedy Shows,CONT1177,CONT3198,0.31,2025-07-26 22:29:04
SRCH00000262,156252,KDrama,CONT2642,CONT2125,0.58,2026-05-04 09:51:28
SRCH00000263,470165,Comedy Shows,CONT7780,CONT6262,0.43,2025-11-27 18:00:14
SRCH00000264,417220,KDrama,CONT1367,CONT3094,0.29,2025-12-04 13:04:58
SRCH00000265,835476,Sci-Fi,CONT5031,CONT3668,0.94,2026-02-11 02:43:56
SRCH00000266,546110,Sci-Fi,CONT2675,CONT5065,0.38,2025-12-23 02:36:48
SRCH00000267,457441,KDrama,CONT1242,CONT3955,0.42,2025-06-22 22:35:18
SRCH00000268,443183,Comedy Shows,CONT3878,CONT8071,0.03,2025-10-08 11:09:00
SRCH00000269,738302,Sci-Fi,CONT3400,CONT5175,0.12,2026-05-08 18:35:35
SRCH00000270,226390,IPL,CONT1368,CONT4655,0.98,2026-05-16 02:52:48
SRCH00000271,179490,IPL,CONT1496,CONT3983,0.28,2026-03-31 16:27:40
SRCH00000272,255347,KDrama,CONT3180,CONT9172,0.98,2026-05-07 23:07:04
SRCH00000273,634174,Sci-Fi,CONT5202,CONT3162,0.16,2025-12-27 05:05:37
SRCH00000274,801625,KDrama,CONT8415,CONT3822,0.25,2025-10-03 23:02:44
SRCH00000275,199837,KDrama,CONT6146,CONT5043,0.54,2026-05-19 23:51:31
SRCH00000276,717942,KDrama,CONT5236,CONT9804,0.11,2025-06-04 14:57:23
SRCH00000277,147937,KDrama,CONT8066,CONT6300,0.25,2025-10-27 12:05:04
SRCH00000278,219867,Action Movies,CONT6085,CONT7128,0.53,2025-11-30 04:45:53
SRCH00000279,628483,Sci-Fi,CONT7022,CONT3766,0.99,2025-11-14 03:50:25
SRCH00000280,742886,IPL,CONT4471,CONT5681,0.32,2025-12-15 06:34:21
SRCH00000281,290813,Comedy Shows,CONT2701,CONT3302,0.86,2025-06-02 02:19:12
SRCH00000282,735684,IPL,CONT6219,CONT3103,0.82,2026-02-05 06:36:31
SRCH00000283,791092,IPL,CONT3929,CONT3581,0.21,2026-02-01 04:29:39
SRCH00000284,925268,Action Movies,CONT1642,CONT7551,0.63,2026-04-10 19:07:27
SRCH00000285,514358,KDrama,CONT6017,CONT8213,0.78,2025-08-20 03:50:38
SRCH00000286,613647,KDrama,CONT1386,CONT7195,0.32,2025-07-17 07:48:30
SRCH00000287,237834,Sci-Fi,CONT2255,CONT2066,0.5,2026-03-17 16:03:00
SRCH00000288,202707,IPL,CONT2484,CONT4018,0.38,2025-09-08 18:07:23
SRCH00000289,545584,Sci-Fi,CONT9809,CONT1166,0.77,2025-08-05 23:36:23
SRCH00000290,135948,Action Movies,CONT4554,CONT3374,0.31,2025-11-01 04:31:11
SRCH00000291,426444,Comedy Shows,CONT6907,CONT4434,0.67,2026-03-26 12:49:47
SRCH00000292,599284,IPL,CONT6517,CONT6236,0.49,2026-05-05 12:09:00
SRCH00000293,150248,Comedy Shows,CONT1903,CONT5950,0.67,2025-09-11 23:47:39
SRCH00000294,546476,Comedy Shows,CONT9757,CONT5323,0.76,2026-03-04 12:27:40
SRCH00000295,625520,Action Movies,CONT2797,CONT9959,0.73,2025-11-02 12:00:07
SRCH00000296,568971,KDrama,CONT5748,CONT2716,0.19,2026-05-01 09:03:24
SRCH00000297,459614,KDrama,CONT2402,CONT7641,0.29,2025-10-16 04:37:54
SRCH00000298,632007,KDrama,CONT8718,CONT6369,0.61,2025-08-26 10:22:17
SRCH00000299,475126,Comedy Shows,CONT2006,CONT1979,0.33,2025-10-04 13:33:07
