Content_ID,Genre,Release_Date,Language,Duration,Rating,Production_Studio
CONT00000274,Comedy,2025-07-30 19:47:31,English,140,10.0,Disney
CONT00000275,Comedy,2025-12-10 01:53:42,Korean,154,3.1,Warner
CONT00000276,Comedy,2026-01-20 09:25:40,Spanish,84,9.1,Marvel
CONT00000277,Sports,2025-12-30 13:11:05,Korean,186,5.7,Warner
CONT00000278,Action,2026-04-29 00:18:44,English,235,2.8,Disney
CONT00000279,Sports,2026-02-12 22:57:40,Spanish,210,6.3,Marvel
CONT00000280,Sci-Fi,2026-02-02 07:24:27,English,228,9.6,Sony
CONT00000281,Drama,2026-05-17 08:28:07,Hindi,202,5.9,Sony
CONT00000282,Comedy,2026-03-08 00:37:45,Hindi,57,3.8,Warner
CONT00000283,Comedy,2026-03-10 01:09:08,English,79,2.7,Marvel
CONT00000284,Action,2026-04-01 07:18:24,Korean,171,9.6,Disney
CONT00000285,Action,2026-05-06 12:22:50,English,198,4.4,Warner
CONT00000286,Documentary,2025-07-12 06:25:42,Korean,60,9.0,Sony
CONT00000287,Sports,2025-06-11 05:08:00,English,195,9.1,Disney
CONT00000288,Sports,2025-08-25 18:52:43,Korean,98,9.7,Netflix Originals
CONT00000289,Sports,2026-04-04 05:39:29,Spanish,169,1.7,Disney
CONT00000290,Action,2025-06-02 09:15:38,Hindi,162,1.3,Warner
CONT00000291,Comedy,2026-03-13 01:30:30,Korean,45,9.7,Sony
CONT00000292,Comedy,2025-11-11 19:22:21,Spanish,35,8.7,Marvel
CONT00000293,Documentary,2026-05-10 12:53:35,Hindi,94,2.8,Disney
CONT00000294,Action,2026-01-03 03:11:45,Hindi,234,4.3,Sony
CONT00000295,Comedy,2026-02-22 00:36:24,Hindi,131,8.4,Disney
CONT00000296,Sci-Fi,2025-06-02 19:30:00,Spanish,211,5.4,Sony
CONT00000297,Sci-Fi,2025-07-06 21:21:48,Spanish,187,4.6,Marvel
CONT00000298,Sci-Fi,2025-08-01 08:35:27,Hindi,239,2.4,Marvel
CONT00000299,Drama,2026-02-25 01:02:25,Spanish,202,3.4,Disney
CONT00000300,Sports,2025-12-30 21:13:05,English,198,2.8,Disney
CONT00000301,Drama,2026-05-22 08:59:33,Spanish,145,8.3,Netflix Originals
CONT00000302,Sci-Fi,2026-03-31 08:38:10,Hindi,85,6.9,Marvel
CONT00000303,Sci-Fi,2025-06-21 21:12:00,Hindi,201,4.3,Marvel
CONT00000304,Sci-Fi,2025-09-21 09:54:07,Hindi,38,5.2,Marvel
CONT00000305,Comedy,2025-10-05 04:45:43,English,153,4.2,Marvel
CONT00000306,Drama,2025-09-16 02:57:37,Spanish,77,9.7,Sony
CONT00000307,Drama,2025-06-22 18:17:03,English,54,6.9,Warner
CONT00000308,Documentary,2025-06-17 15:47:10,Spanish,227,8.9,Marvel
CONT00000309,Action,2025-11-07 21:02:52,English,163,8.3,Disney
CONT00000310,Drama,2025-09-28 00:38:23,Hindi,150,6.6,Marvel
CONT00000311,Sci-Fi,2025-11-22 22:11:56,Spanish,41,1.4,Marvel
CONT00000312,Documentary,2026-01-17 07:08:43,Korean,73,5.4,Netflix Originals
CONT00000313,Sci-Fi,2026-01-06 11:47:44,Spanish,157,9.5,Marvel
CONT00000314,Action,2026-05-10 17:49:17,Spanish,55,6.3,Netflix Originals
CONT00000315,Comedy,2025-05-29 01:15:38,Spanish,154,8.7,Warner
CONT00000316,Sci-Fi,2026-03-29 19:36:54,Hindi,218,5.6,Warner
CONT00000317,Action,2026-04-30 00:30:01,Spanish,108,3.9,Warner
CONT00000318,Comedy,2025-08-01 16:42:43,Hindi,37,7.6,Warner
CONT00000319,Drama,2026-04-09 16:16:18,Hindi,177,9.7,Marvel
CONT00000320,Comedy,2026-01-28 09:56:37,Spanish,235,8.6,Marvel
CONT00000321,Comedy,2026-03-12 18:58:29,Hindi,164,2.1,Sony
CONT00000322,Comedy,2025-11-29 05:09:09,Spanish,103,9.2,Netflix Originals
CONT00000323,Sci-Fi,2026-05-11 13:20:07,Hindi,115,6.8,Sony
CONT00000324,Action,2025-06-06 12:35:22,Korean,229,3.4,Warner
CONT00000325,Sci-Fi,2026-04-20 04:02:54,Spanish,50,3.2,Marvel
CONT00000326,Sci-Fi,2025-09-11 03:57:28,Hindi,133,5.9,Netflix Originals
CONT00000327,Sci-Fi,2025-11-20 09:38:04,English,40,4.9,Marvel
CONT00000328,Comedy,2025-11-14 03:38:21,Hindi,82,2.2,Disney
CONT00000329,Drama,2025-10-20 02:22:02,English,145,4.6,Marvel
CONT00000330,Comedy,2026-04-27 23:18:42,English,112,6.0,Warner
CONT00000331,Drama,2026-02-03 19:41:03,English,72,2.4,Warner
CONT00000332,Sports,2026-04-17 18:39:13,Spanish,37,8.6,Marvel
CONT00000333,Documentary,2026-02-20 07:03:20,Spanish,122,1.1,Netflix Originals
CONT00000334,Comedy,2025-10-31 07:28:36,Hindi,182,3.0,Disney
CONT00000335,Drama,2025-10-10 20:29:46,English,172,4.3,Netflix Originals
CONT00000336,Documentary,2025-09-01 11:51:53,Spanish,122,3.2,Netflix Originals
CONT00000337,Documentary,2026-01-22 14:11:10,Korean,227,2.8,Sony
CONT00000338,Drama,2025-10-03 00:29:42,Hindi,53,8.9,Disney
CONT00000339,Comedy,2026-01-28 11:22:15,Spanish,105,2.1,Disney
CONT00000340,Sci-Fi,2025-09-16 21:53:17,Korean,117,2.4,Disney
CONT00000341,Sci-Fi,2026-03-13 05:21:50,Spanish,62,1.6,Sony
CONT00000342,Drama,2025-09-12 05:52:03,Korean,198,2.0,Marvel
CONT00000343,Drama,2026-03-25 08:07:05,Korean,78,1.9,Netflix Originals
CONT00000344,Documentary,2025-09-02 22:19:06,Spanish,219,5.9,Marvel
CONT00000345,Action,2025-07-02 16:23:49,Hindi,187,3.9,Marvel
CONT00000346,Sci-Fi,2025-06-06 21:16:42,English,183,9.7,Marvel
CONT00000347,Comedy,2026-04-09 09:16:44,Spanish,54,8.3,Warner
CONT00000348,Sci-Fi,2026-03-10 00:55:10,Spanish,235,10.0,Disney
