CDN_Event_ID,Server_Region,Latency,Packet_Loss,Buffering_Spike,Failure_Code,Timestamp
CDN00000063,Canada,288.8,7.38,True,200,2025-08-14 00:15:42
CDN00000064,Germany,114.59,0.24,True,504,2025-08-26 08:14:39
CDN00000065,India,34.32,5.84,False,200,2025-11-05 06:54:48
CDN00000066,Germany,357.78,4.32,True,502,2026-01-06 21:47:24
CDN00000067,Canada,340.49,8.78,True,500,2025-08-29 08:00:49
CDN00000068,Germany,444.7,1.44,True,502,2026-01-16 05:45:24
CDN00000069,India,436.56,2.54,True,502,2025-07-24 03:50:40
CDN00000070,USA,430.18,7.01,False,502,2026-04-25 18:56:49
CDN00000071,Canada,255.15,7.27,False,500,2025-12-20 13:17:32
CDN00000072,Canada,197.41,1.4,False,200,2026-05-08 15:09:56
CDN00000073,USA,472.35,5.68,True,502,2025-08-28 15:09:53
CDN00000074,Germany,460.3,1.7,True,500,2026-01-25 20:04:18
CDN00000075,USA,313.35,1.97,True,504,2025-08-19 06:11:09
CDN00000076,UK,181.75,1.68,False,502,2025-11-10 04:48:37
CDN00000077,Canada,335.88,1.94,False,504,2026-03-02 22:53:30
CDN00000078,USA,69.19,3.04,False,504,2025-10-11 01:52:00
CDN00000079,UK,46.54,8.27,False,200,2026-04-16 17:20:30
CDN00000080,UK,134.54,0.88,True,504,2025-06-15 04:47:34
CDN00000081,UK,103.19,8.57,False,502,2025-07-20 06:34:23
CDN00000082,Canada,64.18,2.84,True,502,2026-02-28 16:09:20
CDN00000083,Canada,469.76,2.74,False,502,2026-02-03 11:49:39
CDN00000084,Canada,306.17,6.72,True,200,2025-11-04 20:15:02
CDN00000085,Germany,267.68,5.08,True,502,2025-12-21 19:52:46
CDN00000086,Canada,70.66,4.17,True,500,2025-07-29 04:53:04
CDN00000087,USA,261.57,9.45,False,504,2025-10-15 17:04:21
CDN00000088,USA,474.48,7.8,True,502,2026-02-07 11:55:36
CDN00000089,USA,173.52,0.9,True,504,2025-12-14 21:14:32
CDN00000090,India,89.89,3.65,True,200,2026-02-09 17:24:43
CDN00000091,Canada,210.48,8.82,True,500,2025-12-29 18:49:48
CDN00000092,Germany,257.01,2.98,True,200,2026-01-05 22:37:36
CDN00000093,USA,88.55,7.11,True,500,2026-04-08 17:09:47
CDN00000094,India,24.94,2.16,True,400,2026-02-10 00:12:35
CDN00000095,Germany,375.66,9.88,True,400,2025-07-30 05:45:26
CDN00000096,UK,108.06,3.3,False,502,2025-08-13 06:50:22
CDN00000097,Canada,411.14,4.57,False,400,2026-05-18 04:47:56
CDN00000098,UK,225.69,7.76,True,502,2025-09-30 12:27:45
CDN00000099,UK,489.75,8.34,True,502,2026-03-09 05:06:36
CDN00000100,UK,308.26,9.74,True,504,2025-06-27 10:22:55
CDN00000101,USA,189.3,2.9,True,504,2026-03-14 15:30:15
CDN00000102,Germany,74.92,8.5,False,504,2025-11-14 04:53:10
CDN00000103,Canada,377.12,0.86,True,502,2026-01-19 20:15:13
CDN00000104,India,24.69,4.14,True,502,2026-04-01 14:41:25
CDN00000105,Germany,436.13,1.61,False,504,2025-07-04 08:41:35
CDN00000106,Germany,51.16,1.65,True,500,2025-12-06 07:13:54
CDN00000107,India,229.02,2.69,False,504,2025-08-07 01:58:14
CDN00000108,UK,182.82,1.09,False,504,2025-12-31 02:18:07
CDN00000109,USA,381.82,8.58,True,502,2025-07-10 10:52:06
CDN00000110,India,127.04,8.22,True,502,2026-05-03 23:30:36
CDN00000111,USA,482.43,8.11,True,200,2025-11-26 19:28:23
CDN00000112,UK,60.57,3.93,True,504,2025-07-04 00:47:15
CDN00000113,Canada,166.99,4.69,False,500,2025-10-20 12:00:23
CDN00000114,India,390.3,6.23,False,502,2026-03-25 22:47:46
CDN00000115,USA,300.6,8.76,True,504,2026-05-27 10:38:20
CDN00000116,India,284.53,3.46,False,504,2025-08-02 22:36:55
CDN00000117,Germany,219.99,9.7,True,400,2026-03-16 18:21:59
CDN00000118,Canada,21.6,7.8,False,200,2025-08-25 05:10:43
CDN00000119,Germany,224.96,6.52,False,400,2025-12-17 06:50:19
CDN00000120,USA,233.52,8.19,False,504,2026-02-07 15:54:38
CDN00000121,Canada,73.57,6.96,False,500,2025-12-03 03:49:36
CDN00000122,USA,426.51,7.67,False,502,2025-11-29 14:33:31
CDN00000123,UK,179.48,2.45,False,400,2026-01-27 16:02:29
CDN00000124,Germany,135.74,8.37,True,500,2026-02-09 19:51:22
CDN00000125,Canada,445.59,8.39,False,502,2026-05-09 05:18:06
CDN00000126,India,22.45,4.34,True,500,2026-04-18 10:14:47
CDN00000127,Canada,23.26,0.38,True,504,2026-01-25 01:01:02
CDN00000128,Germany,239.66,6.13,True,504,2025-06-08 17:06:39
CDN00000129,UK,447.15,8.29,True,500,2026-02-01 07:37:11
CDN00000130,Germany,417.57,0.07,False,504,2026-01-10 07:34:58
CDN00000131,Canada,244.5,4.7,True,502,2026-03-16 09:39:08
CDN00000132,USA,259.35,9.25,False,400,2025-10-12 05:49:09
CDN00000133,UK,399.54,4.4,True,500,2025-11-08 10:28:31
CDN00000134,Canada,113.41,1.24,True,400,2025-06-22 11:37:14
CDN00000135,USA,367.27,6.07,False,500,2026-02-27 11:52:14
CDN00000136,India,438.85,3.3,True,200,2026-02-28 09:10:44
CDN00000137,India,441.94,0.91,False,500,2025-07-05 07:12:54
CDN00000138,Canada,250.15,2.22,False,504,2025-06-09 07:18:38
CDN00000139,USA,381.1,6.22,True,502,2025-07-02 01:41:01
CDN00000140,USA,18.03,4.36,False,400,2025-08-29 13:54:47
CDN00000141,Canada,162.28,5.52,True,200,2025-09-01 01:12:40
CDN00000142,USA,441.35,4.33,False,200,2026-03-13 05:47:26
CDN00000143,USA,118.29,5.48,False,502,2025-06-24 10:53:51
CDN00000144,UK,26.85,6.65,False,504,2026-05-22 00:02:45
CDN00000145,Canada,233.7,7.17,False,200,2025-11-17 03:21:02
CDN00000146,Germany,334.99,7.01,False,504,2025-12-09 20:06:15
CDN00000147,Germany,74.39,0.75,True,502,2025-10-02 04:04:51
CDN00000148,UK,6.45,7.35,True,200,2026-02-10 18:39:04
CDN00000149,Canada,359.09,4.87,True,400,2026-03-16 13:48:14
CDN00000150,Canada,354.56,3.4,False,500,2025-12-11 01:42:57
CDN00000151,India,44.86,1.05,True,500,2025-10-21 02:46:48
CDN00000152,USA,99.52,0.86,True,200,2026-02-07 19:27:15
CDN00000153,Germany,418.7,4.33,False,200,2025-08-05 21:50:18
CDN00000154,Germany,44.68,6.55,False,504,2025-11-11 16:40:00
CDN00000155,UK,461.78,1.28,True,502,2025-10-17 08:50:08
CDN00000156,UK,254.84,2.85,True,502,2025-08-28 07:11:59
CDN00000157,UK,291.84,2.7,False,200,2026-01-14 13:19:22
CDN00000158,Germany,152.56,8.83,False,400,2026-04-15 02:06:37
CDN00000159,India,435.22,0.26,True,504,2025-09-07 04:57:01
CDN00000160,Canada,66.16,8.54,True,500,2025-06-28 22:14:52
CDN00000161,Germany,194.96,1.18,False,502,2025-07-26 08:50:41
CDN00000162,India,442.3,7.02,True,504,2025-07-24 23:08:09
CDN00000163,Germany,199.58,7.01,False,200,2025-09-12 04:56:37
CDN00000164,Canada,301.44,6.23,True,500,2026-04-15 18:35:10
CDN00000165,Germany,227.76,1.55,True,500,2025-08-10 17:20:22
CDN00000166,UK,60.04,1.67,False,200,2025-07-04 19:40:21
CDN00000167,USA,59.19,4.07,False,200,2025-07-11 18:40:09
CDN00000168,Canada,356.9,0.8,True,500,2026-04-05 19:15:15
CDN00000169,India,367.07,5.75,True,502,2025-08-15 07:19:32
CDN00000170,India,428.61,0.89,True,200,2025-10-08 22:03:02
CDN00000171,UK,270.39,6.12,True,500,2025-06-15 23:20:00
CDN00000172,UK,169.58,7.2,True,504,2025-09-03 00:38:11
CDN00000173,Canada,413.68,6.71,False,400,2026-04-19 12:24:26
CDN00000174,India,464.92,2.43,True,400,2025-12-15 20:57:23
CDN00000175,USA,276.11,3.03,False,500,2025-07-04 20:09:44
CDN00000176,USA,374.32,7.42,False,502,2026-02-12 14:42:37
CDN00000177,Canada,461.84,1.28,True,400,2025-10-17 05:13:07
CDN00000178,India,101.3,3.52,False,504,2025-12-21 14:41:47
CDN00000179,Germany,79.17,5.18,False,504,2025-10-14 21:23:13
CDN00000180,USA,19.58,3.71,False,400,2026-04-11 08:07:03
CDN00000181,India,318.82,6.55,True,504,2026-01-07 14:39:54
CDN00000182,UK,385.79,6.39,False,504,2025-08-15 11:46:21
CDN00000183,USA,117.57,1.91,False,400,2025-10-22 09:32:58
CDN00000184,India,23.86,2.89,False,502,2025-10-21 10:17:26
CDN00000185,Germany,351.67,9.15,False,504,2025-10-24 22:53:52
CDN00000186,UK,26.05,7.09,False,400,2025-11-17 23:28:50
CDN00000187,USA,265.02,4.24,False,200,2025-09-18 20:34:05
CDN00000188,UK,17.77,7.68,False,500,2026-03-22 04:23:30
CDN00000189,Germany,103.22,9.45,False,504,2025-12-22 13:53:56
CDN00000190,Canada,286.59,0.62,False,500,2026-03-10 23:58:12
CDN00000191,India,286.99,3.98,False,200,2026-04-14 06:36:54
CDN00000192,UK,213.55,3.99,False,400,2026-02-25 10:09:20
CDN00000193,Canada,235.25,9.74,True,502,2025-11-15 11:24:44
CDN00000194,Canada,406.47,6.23,False,500,2026-03-13 20:51:42
CDN00000195,Canada,483.28,9.71,True,500,2025-08-11 11:10:47
CDN00000196,Canada,452.51,4.71,False,500,2026-02-08 22:00:46
CDN00000197,Germany,190.27,6.27,True,500,2026-05-22 18:32:21
CDN00000198,Germany,490.63,0.76,True,500,2026-01-05 23:46:02
CDN00000199,Germany,401.34,7.09,False,504,2025-06-29 01:20:45
CDN00000200,USA,443.93,4.74,False,200,2025-09-22 13:15:22
CDN00000201,USA,96.09,1.67,False,400,2025-08-10 20:07:05
CDN00000202,Germany,189.24,1.62,False,504,2025-07-09 18:23:53
CDN00000203,Canada,193.79,2.5,True,504,2025-11-16 07:51:37
CDN00000204,Germany,263.58,3.93,False,504,2026-03-11 06:44:34
CDN00000205,UK,119.11,5.05,True,500,2025-07-15 17:48:57
CDN00000206,India,182.62,3.06,False,504,2026-05-20 06:11:30
CDN00000207,Germany,171.09,7.66,False,500,2026-05-15 19:28:18
CDN00000208,India,404.31,3.4,True,200,2026-04-01 17:05:47
CDN00000209,India,56.38,8.79,True,400,2025-10-16 21:14:58
CDN00000210,UK,336.32,0.84,False,400,2025-08-13 00:41:06
CDN00000211,Canada,455.04,8.48,True,504,2025-07-30 15:40:04
CDN00000212,Germany,141.31,0.94,False,500,2025-09-23 13:55:44
CDN00000213,Canada,239.53,0.65,False,502,2025-12-19 23:12:28
CDN00000214,USA,158.68,4.83,False,200,2025-08-13 19:56:45
CDN00000215,USA,328.29,6.6,False,502,2026-02-27 12:51:02
CDN00000216,India,267.38,5.83,True,504,2026-04-10 11:47:29
CDN00000217,USA,350.81,1.01,True,500,2026-01-12 20:29:42
CDN00000218,Germany,205.95,1.99,False,400,2025-12-12 08:45:20
CDN00000219,USA,146.93,5.26,False,200,2025-10-01 04:48:56
CDN00000220,Germany,283.0,2.76,True,400,2026-05-05 15:44:54
CDN00000221,India,322.16,9.06,True,400,2025-06-28 04:32:14
CDN00000222,USA,321.94,0.36,False,200,2025-07-25 17:14:37
CDN00000223,Germany,299.8,2.2,True,500,2025-09-07 18:56:07
CDN00000224,Canada,9.09,4.29,False,200,2025-10-15 23:58:05
CDN00000225,India,58.8,1.25,False,504,2026-01-16 17:25:59
CDN00000226,Canada,121.33,8.04,False,504,2026-04-20 16:26:33
CDN00000227,Germany,451.04,7.13,True,500,2025-09-02 23:46:36
CDN00000228,Germany,306.09,3.48,True,200,2026-01-30 01:37:06
CDN00000229,USA,120.18,1.75,False,502,2025-11-23 17:32:42
CDN00000230,Germany,53.81,2.1,False,500,2026-03-16 03:35:00
CDN00000231,Canada,445.95,8.3,True,504,2026-01-13 08:55:22
CDN00000232,India,296.76,1.3,True,502,2026-05-10 05:43:03
CDN00000233,USA,427.38,1.41,False,400,2026-02-24 08:52:07
CDN00000234,UK,43.5,3.52,False,502,2025-12-05 19:38:44
CDN00000235,Germany,462.73,3.94,True,504,2026-02-08 21:30:28
CDN00000236,Germany,253.12,9.43,False,504,2025-07-18 23:34:26
CDN00000237,Germany,357.68,4.24,False,502,2025-10-03 09:46:42
CDN00000238,Canada,53.64,0.58,False,502,2026-05-23 12:59:58
CDN00000239,Canada,198.86,6.49,False,500,2026-02-24 07:07:13
CDN00000240,India,236.86,7.28,False,500,2025-11-20 17:36:34
CDN00000241,Germany,51.85,9.06,True,200,2025-12-27 08:44:22
CDN00000242,Canada,490.5,8.32,False,200,2025-06-10 10:26:24
CDN00000243,Canada,75.49,9.7,False,200,2025-05-28 17:21:24
CDN00000244,USA,340.87,0.44,True,200,2025-09-03 14:04:01
CDN00000245,India,197.26,4.65,True,500,2026-04-19 08:34:58
CDN00000246,Canada,426.88,4.42,True,500,2025-11-01 17:26:33
CDN00000247,UK,13.53,9.66,False,504,2026-01-01 01:55:02
CDN00000248,UK,196.02,6.47,False,400,2026-04-06 19:25:08
CDN00000249,UK,289.91,4.01,True,502,2026-01-20 06:56:52
CDN00000250,Canada,188.04,8.87,False,400,2026-05-13 11:01:33
CDN00000251,UK,66.4,0.79,True,400,2025-06-30 06:07:41
CDN00000252,Canada,314.7,4.61,True,400,2025-08-26 06:09:32
CDN00000253,USA,125.76,4.46,True,200,2026-04-15 05:38:25
CDN00000254,UK,116.74,3.85,False,502,2025-08-10 20:00:46
CDN00000255,UK,326.86,8.68,True,504,2025-08-20 15:53:19
CDN00000256,USA,232.29,0.94,False,500,2025-12-28 19:25:22
CDN00000257,UK,223.63,7.57,True,400,2025-09-23 06:07:33
CDN00000258,Canada,110.88,9.48,False,504,2025-06-20 14:56:36
CDN00000259,Canada,350.85,6.42,False,502,2025-09-19 22:09:15
CDN00000260,India,4.25,0.07,True,504,2026-01-16 16:38:46
CDN00000261,USA,184.78,3.27,True,500,2025-06-15 17:37:33
CDN00000262,Germany,222.17,7.19,False,502,2025-08-31 23:19:33
CDN00000263,Canada,123.31,5.18,False,200,2025-06-05 12:09:34
CDN00000264,UK,421.04,5.34,True,502,2026-02-28 07:50:29
CDN00000265,Canada,151.59,8.24,True,200,2025-06-14 02:37:01
CDN00000266,Germany,388.02,8.03,False,500,2025-08-27 07:42:11
CDN00000267,UK,347.37,0.94,True,502,2026-02-22 20:27:00
CDN00000268,Canada,411.17,2.87,True,200,2025-09-13 10:58:51
CDN00000269,UK,26.72,3.17,True,504,2025-09-02 11:55:55
CDN00000270,India,6.17,2.51,True,502,2025-11-02 03:49:07
CDN00000271,India,10.11,0.28,False,200,2026-02-26 12:43:17
CDN00000272,USA,56.69,3.76,False,500,2025-09-27 04:02:01
CDN00000273,Canada,156.67,8.72,True,502,2025-06-11 07:19:48
CDN00000274,Canada,53.06,8.33,True,502,2026-04-19 19:57:40
CDN00000275,India,377.44,5.99,True,502,2026-05-09 02:41:39
CDN00000276,India,221.34,4.51,True,400,2026-01-04 12:36:13
CDN00000277,Canada,435.54,2.32,False,400,2025-12-28 07:34:20
CDN00000278,India,287.78,6.75,False,500,2025-09-28 18:59:52
CDN00000279,Canada,322.91,4.07,False,504,2025-06-01 18:16:00
CDN00000280,Canada,453.63,6.43,True,502,2025-06-18 11:55:53
CDN00000281,Canada,8.7,0.18,False,200,2025-09-04 09:10:19
CDN00000282,India,127.99,3.5,False,502,2025-06-23 21:57:21
CDN00000283,UK,476.82,8.45,True,502,2026-04-05 06:24:28
CDN00000284,Canada,339.35,5.05,False,500,2026-01-21 02:46:50
CDN00000285,UK,82.09,3.68,False,400,2026-01-22 09:52:20
CDN00000286,UK,385.34,0.86,False,504,2025-12-20 12:20:49
CDN00000287,Canada,230.99,5.46,False,500,2025-06-03 18:45:05
CDN00000288,USA,437.12,8.53,True,502,2025-12-11 23:29:39
CDN00000289,Canada,453.02,9.81,False,200,2026-04-27 08:17:28
CDN00000290,UK,7.04,3.0,False,400,2025-08-01 19:21:13
CDN00000291,Canada,214.4,3.85,True,500,2026-05-06 05:40:01
CDN00000292,Canada,351.58,5.77,False,200,2025-10-24 18:54:07
CDN00000293,USA,382.76,6.66,True,200,2026-04-22 15:36:57
CDN00000294,India,388.76,6.65,True,504,2025-09-29 00:26:34
CDN00000295,USA,244.69,3.62,False,502,2025-11-15 03:46:49
CDN00000296,USA,269.78,0.54,True,200,2026-03-21 12:33:09
CDN00000297,India,93.56,0.93,True,200,2025-06-27 11:41:22
CDN00000298,India,466.32,2.89,False,200,2025-08-19 15:07:14
CDN00000299,UK,484.39,4.44,True,200,2026-03-04 15:31:11
CDN00000300,Germany,393.67,2.25,False,500,2026-02-28 22:34:36
CDN00000301,USA,160.43,4.93,True,502,2025-08-10 04:18:31
CDN00000302,USA,323.74,8.38,False,400,2025-09-03 04:02:16
CDN00000303,Germany,294.79,7.47,False,500,2026-01-19 23:36:50
CDN00000304,Canada,217.52,9.89,True,502,2026-01-02 18:32:40
CDN00000305,USA,161.02,5.47,False,400,2025-08-03 04:43:53
CDN00000306,UK,159.02,4.29,False,500,2025-11-25 21:11:55
CDN00000307,Canada,364.44,3.71,True,504,2026-03-18 23:07:14
CDN00000308,Germany,479.59,6.58,True,502,2026-01-15 00:52:20
CDN00000309,Canada,362.48,5.44,True,500,2026-04-23 19:46:03
CDN00000310,Canada,164.64,6.33,False,500,2025-11-05 03:36:56
CDN00000311,Canada,434.27,1.92,True,500,2025-06-09 06:35:03
CDN00000312,Germany,184.73,3.96,False,504,2025-10-14 15:03:56
CDN00000313,USA,243.71,2.3,True,500,2025-09-09 16:58:57
CDN00000314,Canada,385.47,0.79,True,502,2026-04-24 16:02:45
CDN00000315,Germany,468.25,2.98,True,502,2025-06-14 00:38:40
CDN00000316,UK,233.45,8.44,True,400,2026-03-12 14:15:05
CDN00000317,USA,203.99,6.73,False,500,2026-01-09 16:16:33
CDN00000318,Canada,321.19,8.18,False,504,2025-08-28 09:45:44
CDN00000319,UK,75.16,9.31,True,502,2025-06-29 23:56:13
CDN00000320,UK,269.13,9.78,True,500,2025-12-15 07:16:32
CDN00000321,Germany,447.49,9.18,True,200,2025-12-09 10:05:31
CDN00000322,Germany,188.49,5.65,True,400,2025-08-16 06:06:52
CDN00000323,Germany,312.32,2.77,False,502,2026-04-06 22:54:43
CDN00000324,UK,215.53,2.24,False,200,2026-03-20 11:03:36
CDN00000325,Canada,387.68,4.66,True,500,2026-01-10 21:16:22
CDN00000326,UK,449.76,1.75,True,500,2025-09-07 15:05:20
CDN00000327,USA,402.88,3.6,True,500,2026-05-11 13:20:49
CDN00000328,Canada,76.23,4.44,False,502,2026-05-17 11:25:01
CDN00000329,USA,260.41,1.57,False,502,2025-07-14 12:31:46
CDN00000330,UK,167.21,9.49,True,200,2026-04-21 02:25:32
CDN00000331,Canada,257.39,7.71,True,400,2026-03-12 22:20:44
CDN00000332,USA,69.02,3.09,False,400,2025-06-01 07:42:54
CDN00000333,Canada,393.85,1.09,True,502,2025-08-11 22:19:19
CDN00000334,Germany,441.03,1.93,True,504,2026-05-22 04:46:19
CDN00000335,UK,55.04,3.4,True,502,2025-10-31 13:25:10
CDN00000336,UK,38.15,2.46,False,200,2025-09-23 20:23:08
CDN00000337,Germany,384.3,4.4,False,500,2025-06-08 19:39:42
CDN00000338,USA,169.32,6.12,True,200,2026-02-18 20:04:23
CDN00000339,Canada,33.39,5.54,False,400,2025-11-14 15:48:55
CDN00000340,UK,233.22,6.16,True,200,2025-06-15 07:02:50
CDN00000341,Canada,183.79,6.63,True,504,2025-11-11 08:24:06
CDN00000342,USA,285.2,4.78,True,400,2025-08-01 18:42:32
CDN00000343,UK,121.39,2.96,True,400,2026-05-22 06:57:11
CDN00000344,UK,414.5,7.63,False,400,2025-11-12 17:56:19
CDN00000345,UK,323.25,6.64,False,504,2026-01-13 08:09:06
CDN00000346,Germany,110.63,5.21,False,500,2025-07-14 11:53:50
CDN00000347,USA,482.41,2.42,True,500,2025-08-14 05:51:02
CDN00000348,Germany,381.48,7.89,False,504,2026-03-07 19:39:41
CDN00000349,Canada,274.85,5.11,True,500,2026-05-07 03:31:32
CDN00000350,Canada,144.25,7.07,False,200,2026-02-18 09:31:31
CDN00000351,Canada,215.31,5.57,True,400,2025-11-07 15:15:53
CDN00000352,UK,274.85,7.91,True,400,2025-12-11 02:42:37
CDN00000353,USA,292.3,9.86,False,502,2026-02-26 01:13:12
CDN00000354,USA,489.55,7.58,False,200,2026-01-04 01:36:42
CDN00000355,Germany,454.24,4.57,False,500,2026-02-01 09:27:01
CDN00000356,Germany,494.97,9.36,False,500,2025-12-06 09:30:19
CDN00000357,Germany,161.39,3.76,False,502,2025-07-09 14:40:21
CDN00000358,UK,379.56,8.0,False,400,2025-10-16 00:07:53
CDN00000359,USA,23.18,5.73,True,502,2026-04-07 20:22:00
CDN00000360,Canada,459.4,8.39,False,502,2026-01-09 09:16:58
CDN00000361,Germany,260.32,6.92,True,502,2025-11-26 20:42:48
CDN00000362,UK,298.69,2.85,False,502,2026-04-12 21:03:31
CDN00000363,Canada,243.23,8.39,False,500,2025-06-20 18:53:47
CDN00000364,India,470.59,8.36,False,200,2025-10-01 20:42:52
CDN00000365,India,436.5,0.35,True,200,2025-07-28 12:23:35
CDN00000366,UK,397.41,1.85,False,200,2025-12-23 22:09:34
CDN00000367,Canada,50.58,5.98,True,504,2026-02-19 01:46:55
CDN00000368,Canada,285.56,8.49,False,504,2026-05-05 22:56:56
CDN00000369,UK,448.01,6.36,True,500,2025-11-22 19:08:04
CDN00000370,India,490.64,8.47,True,500,2026-01-31 18:28:17
CDN00000371,Canada,143.32,6.5,False,400,2025-10-10 00:56:41
CDN00000372,Canada,28.8,2.07,False,504,2025-10-25 22:42:55
CDN00000373,India,166.35,3.62,True,504,2025-07-18 20:01:08
CDN00000374,India,264.98,5.03,True,502,2026-03-26 10:12:39
CDN00000375,Germany,256.32,0.11,True,504,2026-04-05 12:38:36
CDN00000376,Germany,112.53,7.5,True,200,2025-06-14 23:16:26
CDN00000377,USA,431.23,0.39,True,504,2026-02-12 14:42:04
CDN00000378,UK,312.68,0.62,False,502,2026-03-03 18:36:54
CDN00000379,Germany,253.12,5.11,True,400,2025-06-25 22:18:55
CDN00000380,India,255.49,2.41,True,502,2026-01-20 05:37:25
CDN00000381,USA,425.03,7.36,True,400,2026-04-21 13:36:20
CDN00000382,UK,41.48,6.84,False,200,2026-04-03 10:54:08
CDN00000383,UK,285.9,6.85,True,200,2025-06-09 01:18:08
CDN00000384,Canada,462.13,6.84,False,500,2026-02-04 14:03:59
CDN00000385,Germany,48.34,1.14,True,400,2025-10-21 09:31:16
CDN00000386,USA,106.78,5.6,True,504,2026-04-28 17:39:56
CDN00000387,India,295.23,9.38,False,500,2025-07-16 08:58:10
CDN00000388,USA,237.1,6.48,False,504,2026-04-07 21:55:08
CDN00000389,India,63.52,1.74,True,504,2025-06-01 21:53:14
CDN00000390,India,471.23,8.15,True,502,2025-10-14 22:19:36
CDN00000391,UK,390.62,3.04,True,500,2026-03-09 01:28:21
CDN00000392,Germany,7.6,2.31,False,502,2025-08-03 21:06:32
